generation_index,individual_index,cap_post_loading,cap_post_conveyor,cap_post_washing,cap_pre_press1,cap_pre_press2,cap_post_press12,wip,throughput
2,48,4,3,2,5,4,2,23.99861111111111,27.25595238095238
2,49,6,4,10,8,2,7,35.784126984126985,27.38452380952381
3,0,5,9,10,9,5,9,43.910515873015875,27.502380952380953
3,1,2,1,4,1,1,9,14.832341269841269,26.603571428571428
3,2,2,1,4,9,5,8,27.053174603174604,27.42142857142857
3,3,6,4,2,7,3,4,28.235714285714284,27.44047619047619
3,4,2,4,1,4,2,2,19.226785714285715,27.379761904761907
3,5,2,1,4,9,5,8,27.053174603174604,27.42142857142857
3,6,2,1,4,9,5,8,27.053174603174604,27.42142857142857
3,7,3,1,2,4,10,2,26.059126984126983,27.386904761904763
3,8,1,1,4,1,1,5,13.952777777777778,26.56904761904762
3,9,2,1,4,9,5,8,27.053174603174604,27.42142857142857
3,10,1,1,2,6,2,3,18.190873015873017,27.270238095238096
3,11,1,2,2,2,2,5,15.074801587301588,27.198809523809523
3,12,1,2,2,6,2,3,19.17063492063492,27.257142857142856
3,13,1,2,2,6,4,3,21.15654761904762,27.320238095238096
3,14,4,1,2,6,3,1,22.088293650793652,27.37142857142857
3,15,4,7,2,9,6,9,33.903571428571425,27.42142857142857
3,16,7,3,7,3,3,1,28.75515873015873,27.40714285714286
3,17,1,2,8,5,6,7,27.89325396825397,27.4
3,18,3,9,1,6,4,5,29.292460317460318,27.41785714285714
3,19,5,1,1,3,2,8,18.264285714285712,27.239285714285714
3,20,1,2,2,1,4,7,16.14404761904762,26.923809523809524
3,21,1,3,2,6,3,3,21.150793650793652,27.258333333333333
3,22,1,2,2,1,4,7,16.14404761904762,26.923809523809524
3,23,2,1,4,1,1,8,15.174404761904762,26.50595238095238
3,24,2,1,2,8,8,8,27.165079365079364,27.392857142857142
3,25,4,3,2,6,6,6,27.22519841269841,27.372619047619047
3,26,3,3,2,6,4,3,23.985714285714284,27.364285714285714
3,27,1,5,3,3,10,5,28.151785714285715,27.39761904761905
3,28,4,4,2,5,3,1,23.934325396825397,27.330952380952382
3,29,5,1,10,9,4,8,34.668055555555554,27.42142857142857
3,30,1,5,3,3,4,7,22.13075396825397,27.31904761904762
3,31,1,1,2,6,5,7,21.19404761904762,27.202380952380953
3,32,2,1,4,1,3,9,17.145238095238096,26.86904761904762
3,33,4,3,2,6,6,6,27.22519841269841,27.372619047619047
3,34,3,3,2,1,4,7,19.26746031746032,27.06547619047619
3,35,4,1,2,1,5,9,18.98392857142857,26.99642857142857
3,36,6,3,8,9,4,7,35.67777777777778,27.42142857142857
3,37,4,4,3,1,1,8,18.982142857142858,26.44047619047619
3,38,1,1,2,1,8,8,19.215873015873015,26.917857142857144
3,39,1,5,3,3,9,5,27.094841269841268,27.349999999999998
3,40,2,1,4,1,8,8,21.932936507936507,27.135714285714286
3,41,2,1,4,1,7,8,20.679761904761904,26.97738095238095
3,42,1,2,10,7,5,1,30.851984126984128,27.370238095238093
3,43,4,7,1,9,5,2,32.333531746031746,27.392857142857142
3,44,4,2,2,6,4,6,24.099801587301588,27.32857142857143
3,45,6,3,8,9,3,7,34.790277777777774,27.4
3,46,2,3,2,6,3,2,22.136309523809523,27.258333333333333
3,47,4,1,2,5,1,3,19.230357142857144,26.938095238095237
3,48,1,2,2,8,4,7,22.99920634920635,27.29047619047619
3,49,1,5,3,6,10,3,31.145833333333332,27.389285714285712
4,0,2,1,4,1,1,9,14.832341269841269,26.603571428571428
4,1,2,4,1,4,2,2,19.226785714285715,27.379761904761907
4,2,1,1,4,1,1,5,13.952777777777778,26.56904761904762
4,3,1,1,2,6,2,3,18.190873015873017,27.270238095238096
4,4,1,2,2,2,2,5,15.074801587301588,27.198809523809523
4,5,2,2,2,2,2,5,16.088293650793652,27.24404761904762
4,6,6,3,2,7,4,7,28.17718253968254,27.507142857142856
4,7,1,2,2,2,2,5,15.074801587301588,27.198809523809523
4,8,1,3,3,3,9,5,25.117261904761904,27.504761904761903
4,9,5,9,10,9,5,9,43.910515873015875,27.502380952380953
4,10,2,1,4,9,5,8,27.053174603174604,27.42142857142857
4,11,6,4,2,7,3,4,28.235714285714284,27.44047619047619
4,12,2,1,4,9,5,8,27.053174603174604,27.42142857142857
4,13,2,1,4,9,5,8,27.053174603174604,27.42142857142857
4,14,3,1,2,4,10,2,26.059126984126983,27.386904761904763
4,15,2,1,4,9,5,8,27.053174603174604,27.42142857142857
4,16,1,2,2,6,2,3,19.17063492063492,27.257142857142856
4,17,5,1,1,3,2,8,18.264285714285712,27.239285714285714
4,18,2,1,4,3,4,8,19.589285714285715,27.336904761904762
4,19,3,1,2,4,10,2,26.059126984126983,27.386904761904763
4,20,2,1,4,9,5,8,27.053174603174604,27.42142857142857
4,21,2,1,3,1,1,8,14.165674603174603,26.54285714285714
4,22,1,1,4,1,1,9,14.086309523809524,26.48095238095238
4,23,2,2,4,5,3,8,22.12142857142857,27.37857142857143
4,24,2,1,3,1,3,9,16.007142857142856,27.02261904761905
4,25,1,1,2,1,4,7,15.205555555555556,26.870238095238097
4,26,1,3,2,6,3,2,21.21825396825397,27.37142857142857
4,27,4,1,2,6,3,1,22.088293650793652,27.37142857142857
4,28,4,7,2,9,6,9,33.903571428571425,27.42142857142857
