generation,individual_index,post_loading_buffer_capacity,post_conveyor_buffer_capacity,post_washing_buffer_capacity,pre_press1_buffer_capacity,pre_press2_buffer_capacity,post_press12_buffer_capacity,throughput,energy consumption per part
3,30,6,6,9,3,10,5,27.33214285714286,0.4507614159675397
3,31,1,1,6,9,6,4,27.40357142857143,0.4518654299852112
3,32,3,1,2,9,3,5,27.396428571428572,0.45166398332169927
3,33,9,4,7,6,3,6,27.348809523809525,0.45116807776596035
3,34,9,2,1,3,7,2,27.377380952380953,0.45150304681890985
3,35,5,4,2,3,4,5,27.26309523809524,0.4510594404387156
3,36,4,10,2,3,5,8,27.373809523809523,0.45166026241210366
3,37,10,3,7,8,5,6,27.342857142857145,0.4513949706106265
3,38,9,3,1,8,6,2,27.336904761904762,0.4513519473624011
3,39,9,3,7,3,2,5,27.33095238095238,0.45115501983789036
3,40,1,3,6,9,5,3,27.40357142857143,0.45186635466102965
3,41,10,4,9,8,3,5,27.33452380952381,0.45147510386210066
3,42,9,6,6,6,2,6,27.345238095238095,0.45186233201573134
3,43,4,1,7,6,4,5,27.40357142857143,0.4519162558028899
3,44,1,9,1,4,4,6,27.39047619047619,0.45220546306644654
3,45,6,1,1,2,6,3,27.391666666666666,0.4523372298160341
3,46,2,4,6,4,4,8,27.386904761904763,0.451923301527913
3,47,5,1,7,3,7,3,27.302380952380954,0.4517784551946438
3,48,2,4,6,4,4,8,27.386904761904763,0.451923301527913
3,49,6,1,8,5,7,1,27.383333333333333,0.4521012973713726
4,0,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
4,1,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
4,2,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
4,3,9,3,1,4,6,2,27.475,0.45052774496498316
4,4,9,3,1,4,6,2,27.475,0.45052774496498316
4,5,6,1,8,5,7,8,27.420238095238094,0.45022105431093606
4,6,7,1,6,8,4,7,27.457142857142856,0.4506006759099803
4,7,3,1,2,2,6,4,27.414285714285715,0.45031958265735955
4,8,7,1,7,6,4,8,27.457142857142856,0.45061503767385896
4,9,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
4,10,2,1,6,4,4,8,27.45,0.45111750565894565
