generation_index,individual_index,loading_robot_process_time_reduction10percent_flag,conveyor_belt_process_time_reduction10percent_flag,washing_machine_process_time_reduction10percent_flag,hantering_cell_process_time_reduction10percent_flag,presses_cell1_process_time_reduction10percent_flag,presses_cell2_process_time_reduction10percent_flag,quality_station_cell_process_time_reduction10percent_flag,wip,energy consumption per part
26,8,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
26,9,1,0,1,1,1,1,0,18.249007936507937,0.40707665476270394
27,0,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
27,1,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
27,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
27,3,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
27,4,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
27,5,0,0,1,1,1,1,0,18.187599206349205,0.40596388085689383
27,6,1,0,1,1,1,1,0,18.2375,0.40564768590478417
27,7,1,0,1,1,1,0,1,17.95357142857143,0.42181518090091297
27,8,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
27,9,1,0,1,1,1,1,0,18.249007936507937,0.40707665476270394
28,0,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
28,1,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
28,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
28,3,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
28,4,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
28,5,0,0,1,1,1,1,0,18.187599206349205,0.40596388085689383
28,6,1,0,1,1,1,1,0,18.2375,0.40564768590478417
28,7,1,0,1,1,1,0,1,17.95357142857143,0.42181518090091297
28,8,1,0,1,1,1,1,0,18.249007936507937,0.40707665476270394
28,9,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
29,0,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
29,1,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
29,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
29,3,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
29,4,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
29,5,0,0,1,1,1,1,0,18.187599206349205,0.40596388085689383
29,6,1,0,1,1,1,1,0,18.2375,0.40564768590478417
29,7,1,0,1,1,1,0,1,17.95357142857143,0.42181518090091297
29,8,1,0,1,1,1,1,0,18.155158730158732,0.40683254011287256
29,9,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
