eval_id,PostLoadingBuffer,PostConveyorBuffer,PostWashingBuffer,PrePress1Buffer,PrePress2Buffer,PostPress1_2Buffer,wip,throughput
45,1,3,2,2,3,5,16.32121212121212,32.72727272727273
46,3,3,3,2,4,4,20.048484848484847,32.72727272727273
47,4,3,1,1,2,4,16.745454545454546,28.0
48,3,3,4,1,4,5,20.78787878787879,29.09090909090909
49,2,3,1,3,2,4,16.915151515151514,32.36363636363637
50,2,4,1,1,3,5,16.945454545454545,30.90909090909091
51,2,1,4,2,3,1,17.115151515151513,32.72727272727273
52,1,4,2,2,2,5,16.606060606060606,29.818181818181817
53,1,2,4,3,4,5,19.527272727272727,32.36363636363637
54,3,3,3,2,4,4,20.048484848484847,32.72727272727273
55,3,3,1,3,2,4,17.866666666666667,32.36363636363637
56,3,3,3,2,4,4,20.048484848484847,32.72727272727273
57,2,3,4,3,4,1,21.266666666666666,32.36363636363637
58,4,3,3,2,4,4,20.98181818181818,32.72727272727273
59,1,1,2,2,3,5,14.406060606060606,32.72727272727273
60,3,3,1,1,1,4,14.824242424242424,29.818181818181817
61,1,3,2,2,3,5,16.32121212121212,32.72727272727273
62,2,1,1,3,4,5,16.933333333333334,32.36363636363637
63,2,1,2,2,3,5,15.363636363636363,32.72727272727273
64,1,3,4,2,1,1,16.818181818181817,31.636363636363637
65,2,1,4,3,1,5,16.672727272727272,32.0
66,2,1,4,3,2,1,17.503030303030304,32.36363636363637
67,1,2,1,3,2,4,15.0,32.36363636363637
68,3,3,3,2,3,4,19.10909090909091,32.72727272727273
69,1,3,1,3,2,4,15.957575757575757,32.36363636363637
70,1,3,2,2,3,5,16.32121212121212,32.72727272727273
71,1,3,2,2,3,1,16.254545454545454,32.72727272727273
72,3,3,3,2,4,4,20.048484848484847,32.72727272727273
73,3,3,3,2,4,4,20.048484848484847,32.72727272727273
74,3,3,3,2,4,4,20.048484848484847,32.72727272727273
75,1,3,3,2,4,5,18.163636363636364,32.72727272727273
76,1,3,2,2,3,5,16.32121212121212,32.72727272727273
77,1,3,1,2,3,5,15.478787878787879,32.72727272727273
78,3,4,2,2,2,4,18.503030303030304,29.818181818181817
79,1,3,1,3,2,4,15.957575757575757,32.36363636363637
80,1,3,2,2,3,5,16.32121212121212,32.72727272727273
81,1,3,1,2,3,5,15.478787878787879,32.72727272727273
82,1,3,1,2,3,5,15.478787878787879,32.72727272727273
83,1,3,2,2,3,5,16.32121212121212,32.72727272727273
84,1,1,1,3,3,5,15.012121212121212,32.36363636363637
85,1,3,2,2,3,5,16.32121212121212,32.72727272727273
86,1,2,1,2,2,4,13.763636363636364,29.818181818181817
87,3,3,1,1,1,4,14.824242424242424,29.818181818181817
88,1,1,2,2,3,5,14.406060606060606,32.72727272727273
89,1,3,2,2,3,5,16.32121212121212,32.72727272727273
90,2,1,2,2,3,1,15.296969696969697,32.72727272727273
91,2,2,1,3,2,4,15.957575757575757,32.36363636363637
92,1,3,2,2,3,5,16.32121212121212,32.72727272727273
93,2,3,2,3,3,5,18.703030303030303,32.36363636363637
94,1,2,2,2,2,5,14.690909090909091,29.818181818181817
95,1,1,2,2,3,2,14.393939393939394,32.72727272727273
96,1,3,1,3,2,4,15.957575757575757,32.36363636363637
97,1,3,1,3,3,4,16.927272727272726,32.36363636363637
98,1,3,2,2,3,5,16.32121212121212,32.72727272727273
99,1,3,1,3,2,4,15.957575757575757,32.36363636363637
