eval_id,PostLoadingBuffer,PostConveyorBuffer,PostWashingBuffer,PrePress1Buffer,PrePress2Buffer,PostPress1_2Buffer,wip,throughput
1,1,2,1,1,1,1,11.933035714285714,26.279761904761905
8,1,2,1,3,2,2,15.47093253968254,27.297619047619047
14,1,3,1,5,4,3,20.31934523809524,27.339285714285715
46,1,2,1,2,2,2,14.22638888888889,27.011904761904763
64,1,2,1,4,1,1,15.20486111111111,27.02380952380953
70,2,2,1,2,2,5,15.408630952380951,27.035714285714285
73,1,2,1,1,2,2,13.020734126984127,26.5
87,1,4,1,2,2,2,16.38363095238095,27.33333333333333
93,1,2,1,3,1,1,13.616170634920636,26.69047619047619
